2026-03-22 00:53:06 | INFO     | history              | 历史记录清理调度器已启动
2026-03-22 00:58:51 | INFO     | __main__             | [API] 解析视频: https://x.com/Xiaoniu6161/status/2035280434976956515 (客户端: 88b501aa-98b1-4cc5-a7e3-5b3df0d7b126)
2026-03-22 00:58:56 | INFO     | __main__             | [API] 解析完成，耗时: 5.02s, 找到 6 个格式
2026-03-22 00:59:03 | INFO     | __main__             | [Download] 任务开始: 635612ceb5b7409ea040eec7c22855f4
2026-03-22 00:59:03 | INFO     | __main__             | [API] 创建下载任务: 635612ceb5b7409ea040eec7c22855f4 (客户端: 88b501aa-98b1-4cc5-a7e3-5b3df0d7b126, License: SF8I-201R-3WYM-FDJS)
2026-03-22 00:59:03 | INFO     | __main__             | [Download] 任务开始: 12399e42cb364db7935572bb0cc320a0
2026-03-22 00:59:03 | INFO     | __main__             | [API] 创建下载任务: 12399e42cb364db7935572bb0cc320a0 (客户端: 88b501aa-98b1-4cc5-a7e3-5b3df0d7b126, License: SF8I-201R-3WYM-FDJS)
2026-03-22 00:59:17 | INFO     | __main__             | [History] 已保存下载历史: 小牛 - 中国厂商又有福了🤙  苏黎世联邦理工大学，爱因斯坦的母校，推出一款无比灵活的机械手臂，所有零部件均为 3D 打印💪  最为关键的该团队把所... (客户端: 88b501aa-98b1-4cc5-a7e3-5b3df0d7b126)
2026-03-22 00:59:17 | INFO     | __main__             | [Download] 任务完成: 12399e42cb364db7935572bb0cc320a0 文件=小牛 - 中国厂商又有福了🤙 苏黎世联邦理工大学，爱因斯坦的母校，推出一款无比灵活的机械手臂，所有零部件均为 3D 打印💪 最为关键的该团队把所.mp4 大小=3.44MB
2026-03-22 00:59:26 | INFO     | __main__             | [History] 已保存下载历史: 小牛 - 中国厂商又有福了🤙  苏黎世联邦理工大学，爱因斯坦的母校，推出一款无比灵活的机械手臂，所有零部件均为 3D 打印💪  最为关键的该团队把所... (客户端: 88b501aa-98b1-4cc5-a7e3-5b3df0d7b126)
2026-03-22 00:59:26 | INFO     | __main__             | [Download] 任务完成: 635612ceb5b7409ea040eec7c22855f4 文件=小牛 - 中国厂商又有福了🤙 苏黎世联邦理工大学，爱因斯坦的母校，推出一款无比灵活的机械手臂，所有零部件均为 3D 打印💪 最为关键的该团队把所.mp4 大小=3.44MB
